"Name","DefFile","DefLine","Refs","RefsDollar","RefsAt","RefsAmp"
"GLYPH_ICONE_TESTE","tests\90_examples\12_testar_clique_por_indice_menu_lateral.robot","8","3","3","0","0"
"MENU_PESSOAS_LOCATOR","resources\data\pessoas_data.resource","13","3","3","0","0"
"new_version","resources\apps\compilador.resource","48","3","3","0","0"
"parts","resources\apps\compilador.resource","46","3","3","0","0"
"payload_alt","resources\apps\uauxt_grid.resource","332","3","3","0","0"
"popup","resources\apps\compilador.resource","163","3","3","0","0"
"popup","resources\apps\compilador.resource","167","3","3","0","0"
"row_count","resources\apps\compilador.resource","85","3","3","0","0"
"row_indexes_csv","resources\apps\uauxt_grid.resource","234","3","3","0","0"
"script_path","resources\apps\uauxt_grid.resource","50","3","3","0","0"
"SUBMENU_TESTE","tests\90_examples\12_testar_clique_por_indice_menu_lateral.robot","9","3","3","0","0"
"success_popup","resources\apps\compilador.resource","149","3","3","0","0"
"success_popup","resources\apps\compilador.resource","153","3","3","0","0"
"textos","resources\apps\uauxt.resource","275","3","1","2","0"
"textos","resources\apps\uauxt.resource","369","3","1","2","0"
"TFS_BRANCH","resources\data\vs_data.resource","15","3","3","0","0"
"TFS_PROJETO","resources\data\vs_data.resource","14","3","3","0","0"
"TFS_SERVIDOR","resources\data\vs_data.resource","13","3","3","0","0"
"trecho_selecionado","resources\apps\uauxt_grid.resource","609","3","3","0","0"
"UAUXT_CREDENCIAIS_PADRAO","resources\data\uauxt_data.resource","14","3","2","0","1"
"UAUXT_GRID_COUNT_REGEX","resources\data\uauxt_grid_data.resource","18","3","3","0","0"
"UAUXT_GRID_MAX_ROWS_PREVIEW","resources\data\uauxt_grid_data.resource","13","3","3","0","0"
"UAUXT_MENU_ICONE_CAPACETE_LOCATOR","resources\data\uauxt_menu_data.resource","40","3","3","0","0"
